stock_id,model,n_rows,rmse,rmspe,qlike
22771,LR Medium,132480,0.00026015978009551026,1.6670841334795479,0.08969418116939981
22771,LR Long,126720,0.00025459055990408665,1.6282741458909586,0.08685216438086277
22771,WLR Base,137088,0.00028988607930949495,1.8423776236861513,0.10404161999257974
22771,WLR Short,134784,0.00026624662618379697,1.688075271778121,0.09287504137452983
22771,WLR Medium,132480,0.00026017664375475137,1.6624018111221066,0.08972704891990256
22771,WLR Long,126720,0.0002545434830984612,1.6250425871769112,0.08684342340462387
22771,Lasso Base,137088,0.000284859106828146,1.8889945697355057,0.1034574454221364
22771,Lasso Short,134784,0.00026734927489981434,1.7515351802642796,0.09363474958092693
22771,Lasso Medium,132480,0.00026155800006868936,1.7176331578315664,0.09056531719521091
22771,Lasso Long,126720,0.00025625102061178505,1.6705288162512968,0.08771934045684823
22771,XGB Base,137088,0.00028893453923695367,1.736221268222022,0.10396285425789216
22771,XGB Short,134784,0.0002670236340408629,1.608738125956818,0.0937804563406389
22771,XGB Medium,132480,0.0002603186748038206,1.593367845832557,0.09045555765151571
22771,XGB Long,126720,0.0002543984023988491,1.5630931816692373,0.0872148519325361
22771,WXGB Base,137088,0.00028910766949899756,1.698654828602592,0.10473844022427656
22771,WXGB Short,134784,0.0002672775830336234,1.5961052792800219,0.09408356810639791
22771,WXGB Medium,132480,0.0002604029954578647,1.5891109683674327,0.0904601348048199
22771,WXGB Long,126720,0.0002543016447228771,1.5633529668373753,0.08719557106404197
22771,RF Base,137088,0.0002916063126423509,1.7766551471052996,0.10652096852569755
22771,RF Short,134784,0.00028495730420226973,1.7070255808421924,0.1066612036168661
22771,RF Medium,132480,0.00028070002726160676,1.6773896909267692,0.10608302728288449
22771,RF Long,126720,0.00027031845996102014,1.6350781838692154,0.1006654787416899
22771,MLP Base,137088,0.00029087901810754337,1.975611192295516,0.1059584204910647
22771,MLP Short,134784,0.00027261511698828514,1.5260264181769743,0.0979346882308219
22771,MLP Medium,132480,0.0004061502078656906,2.972749686041412,0.17809337084924132
22771,MLP Long,126720,0.0002576557497803093,1.615784560108408,0.08816977776996053
22951,HAR-RV,126720,0.0001594071913222622,0.4345812082486041,0.04908399067111246
22951,LR Base,137088,0.00019836996362128308,0.47502390367192043,0.06861058291989476
22951,LR Short,134784,0.00016739405066253254,0.42344681806417317,0.052153035759535435
22951,LR Medium,132480,0.00016233207288964723,0.41024878475349974,0.049523909592485725
